NAME,population,median_household_income,state,county,tract
Census Tract 4328; Alameda County; California,4037.0,130202.0,06,001,432800
Census Tract 4330; Alameda County; California,3674.0,102118.0,06,001,433000
Census Tract 4331.02; Alameda County; California,4064.0,102703.0,06,001,433102
Census Tract 4331.03; Alameda County; California,3460.0,64615.0,06,001,433103
Census Tract 4331.04; Alameda County; California,4584.0,78603.0,06,001,433104
Census Tract 4332; Alameda County; California,8135.0,84818.0,06,001,433200
Census Tract 4333; Alameda County; California,7265.0,102823.0,06,001,433300
Census Tract 4334; Alameda County; California,5824.0,127601.0,06,001,433400
Census Tract 4335; Alameda County; California,4084.0,75319.0,06,001,433500
Census Tract 4336; Alameda County; California,5871.0,82457.0,06,001,433600
Census Tract 4337; Alameda County; California,3206.0,84813.0,06,001,433700
Census Tract 4338.01; Alameda County; California,3290.0,97155.0,06,001,433801
Census Tract 4338.02; Alameda County; California,4084.0,104289.0,06,001,433802
Census Tract 4339; Alameda County; California,6850.0,80148.0,06,001,433900
Census Tract 4340; Alameda County; California,5378.0,55962.0,06,001,434000
Census Tract 4351.02; Alameda County; California,5595.0,129191.0,06,001,435102
Census Tract 4351.03; Alameda County; California,7325.0,184875.0,06,001,435103
Census Tract 4351.04; Alameda County; California,6615.0,119681.0,06,001,435104
Census Tract 4352; Alameda County; California,4530.0,129375.0,06,001,435200
Census Tract 4353; Alameda County; California,4909.0,114484.0,06,001,435300
Census Tract 4354; Alameda County; California,5077.0,83310.0,06,001,435400
Census Tract 4355; Alameda County; California,4023.0,81275.0,06,001,435500
Census Tract 4356.01; Alameda County; California,4813.0,80325.0,06,001,435601
Census Tract 4356.02; Alameda County; California,5506.0,88273.0,06,001,435602
Census Tract 4357; Alameda County; California,4913.0,100610.0,06,001,435700
Census Tract 4358; Alameda County; California,5802.0,106860.0,06,001,435800
Census Tract 4359; Alameda County; California,5138.0,117841.0,06,001,435900
Census Tract 4360; Alameda County; California,4932.0,116087.0,06,001,436000
Census Tract 4361; Alameda County; California,5991.0,119706.0,06,001,436100
Census Tract 4362; Alameda County; California,4060.0,78125.0,06,001,436200
Census Tract 4363.01; Alameda County; California,5275.0,192837.0,06,001,436301
Census Tract 4363.02; Alameda County; California,3766.0,94112.0,06,001,436302
Census Tract 4364.02; Alameda County; California,2754.0,173882.0,06,001,436402
Census Tract 4364.03; Alameda County; California,4403.0,103750.0,06,001,436403
Census Tract 4364.04; Alameda County; California,3216.0,153333.0,06,001,436404
Census Tract 4365; Alameda County; California,5010.0,86952.0,06,001,436500
Census Tract 4366.01; Alameda County; California,6554.0,80095.0,06,001,436601
Census Tract 4366.02; Alameda County; California,5250.0,103178.0,06,001,436602
Census Tract 4367; Alameda County; California,3533.0,123705.0,06,001,436700
Census Tract 4368; Alameda County; California,4244.0,108867.0,06,001,436800
Census Tract 4369; Alameda County; California,6766.0,107545.0,06,001,436900
Census Tract 4370; Alameda County; California,3617.0,109583.0,06,001,437000
Census Tract 4371.01; Alameda County; California,7458.0,162303.0,06,001,437101
Census Tract 4371.02; Alameda County; California,4018.0,81914.0,06,001,437102
Census Tract 4372; Alameda County; California,8975.0,105606.0,06,001,437200
Census Tract 4373; Alameda County; California,3031.0,62201.0,06,001,437300
Census Tract 4374; Alameda County; California,3609.0,100096.0,06,001,437400
Census Tract 4375; Alameda County; California,4663.0,96250.0,06,001,437500
Census Tract 4376; Alameda County; California,3385.0,107188.0,06,001,437600
Census Tract 4377.01; Alameda County; California,3729.0,72159.0,06,001,437701
Census Tract 4377.02; Alameda County; California,4027.0,100268.0,06,001,437702
Census Tract 4378; Alameda County; California,5107.0,150980.0,06,001,437800
Census Tract 4379; Alameda County; California,2283.0,93490.0,06,001,437900
Census Tract 4380; Alameda County; California,3676.0,137418.0,06,001,438000
Census Tract 4381; Alameda County; California,7541.0,154208.0,06,001,438100
Census Tract 4382.01; Alameda County; California,4671.0,107500.0,06,001,438201
Census Tract 4382.03; Alameda County; California,4073.0,129113.0,06,001,438203
Census Tract 4382.04; Alameda County; California,5745.0,100000.0,06,001,438204
Census Tract 4383; Alameda County; California,3849.0,142500.0,06,001,438300
Census Tract 4384; Alameda County; California,2741.0,107171.0,06,001,438400
Census Tract 4401; Alameda County; California,2423.0,104861.0,06,001,440100
Census Tract 4402; Alameda County; California,5368.0,125129.0,06,001,440200
Census Tract 4403.01; Alameda County; California,6812.0,123102.0,06,001,440301
Census Tract 4403.04; Alameda County; California,4391.0,142675.0,06,001,440304
Census Tract 4403.05; Alameda County; California,4021.0,159583.0,06,001,440305
Census Tract 4403.06; Alameda County; California,3706.0,112723.0,06,001,440306
Census Tract 4403.07; Alameda County; California,4449.0,102500.0,06,001,440307
Census Tract 4403.08; Alameda County; California,6303.0,113750.0,06,001,440308
Census Tract 4403.31; Alameda County; California,3373.0,132500.0,06,001,440331
Census Tract 4403.32; Alameda County; California,3102.0,180234.0,06,001,440332
Census Tract 4403.33; Alameda County; California,2516.0,127708.0,06,001,440333
Census Tract 4403.34; Alameda County; California,3902.0,163663.0,06,001,440334
Census Tract 4403.36; Alameda County; California,4554.0,156579.0,06,001,440336
Census Tract 4403.37; Alameda County; California,2720.0,250001.0,06,001,440337
Census Tract 4403.38; Alameda County; California,3858.0,132250.0,06,001,440338
Census Tract 4411; Alameda County; California,4584.0,175159.0,06,001,441100
Census Tract 4412; Alameda County; California,7151.0,168722.0,06,001,441200
Census Tract 4413.01; Alameda County; California,3338.0,167845.0,06,001,441301
Census Tract 4413.02; Alameda County; California,5882.0,210580.0,06,001,441302
Census Tract 4414.01; Alameda County; California,7667.0,186000.0,06,001,441401
Census Tract 4414.02; Alameda County; California,5231.0,189806.0,06,001,441402
Census Tract 4415.01; Alameda County; California,5496.0,200781.0,06,001,441501
Census Tract 4415.03; Alameda County; California,7528.0,240658.0,06,001,441503
Census Tract 4415.21; Alameda County; California,6045.0,211406.0,06,001,441521
Census Tract 4415.22; Alameda County; California,5131.0,178438.0,06,001,441522
Census Tract 4415.23; Alameda County; California,4032.0,188679.0,06,001,441523
Census Tract 4415.24; Alameda County; California,3989.0,250001.0,06,001,441524
Census Tract 4415.25; Alameda County; California,2362.0,212344.0,06,001,441525
Census Tract 4416.01; Alameda County; California,4418.0,185208.0,06,001,441601
Census Tract 4416.02; Alameda County; California,7280.0,131141.0,06,001,441602
Census Tract 4417.01; Alameda County; California,3645.0,100444.0,06,001,441701
Census Tract 4417.02; Alameda County; California,5108.0,97813.0,06,001,441702
Census Tract 4418; Alameda County; California,6611.0,180354.0,06,001,441800
Census Tract 4419.21; Alameda County; California,3779.0,153089.0,06,001,441921
Census Tract 4419.23; Alameda County; California,5762.0,130038.0,06,001,441923
Census Tract 4419.24; Alameda County; California,7540.0,191306.0,06,001,441924
Census Tract 4419.26; Alameda County; California,4307.0,113510.0,06,001,441926
Census Tract 4419.27; Alameda County; California,4316.0,152381.0,06,001,441927
Census Tract 4419.28; Alameda County; California,4015.0,171132.0,06,001,441928
Census Tract 4419.29; Alameda County; California,3175.0,142188.0,06,001,441929
Census Tract 4420; Alameda County; California,3122.0,214554.0,06,001,442000
Census Tract 4421; Alameda County; California,5279.0,238830.0,06,001,442100
Census Tract 4422; Alameda County; California,7451.0,249917.0,06,001,442200
Census Tract 4423.01; Alameda County; California,4931.0,136573.0,06,001,442301
Census Tract 4423.02; Alameda County; California,6164.0,133850.0,06,001,442302
Census Tract 4424; Alameda County; California,6362.0,138359.0,06,001,442400
Census Tract 4425.01; Alameda County; California,3287.0,101864.0,06,001,442501
Census Tract 4425.02; Alameda County; California,3731.0,138750.0,06,001,442502
Census Tract 4426.01; Alameda County; California,3936.0,168750.0,06,001,442601
Census Tract 4426.02; Alameda County; California,4779.0,143393.0,06,001,442602
Census Tract 4427; Alameda County; California,2998.0,199154.0,06,001,442700
Census Tract 4428; Alameda County; California,3087.0,180800.0,06,001,442800
Census Tract 4429; Alameda County; California,7942.0,169947.0,06,001,442900
Census Tract 4430.01; Alameda County; California,2721.0,154178.0,06,001,443001
Census Tract 4430.02; Alameda County; California,6915.0,141696.0,06,001,443002
Census Tract 4431.02; Alameda County; California,4657.0,250001.0,06,001,443102
Census Tract 4431.03; Alameda County; California,4107.0,250001.0,06,001,443103
Census Tract 4431.04; Alameda County; California,5301.0,200324.0,06,001,443104
Census Tract 4431.05; Alameda County; California,4616.0,240031.0,06,001,443105
Census Tract 4432; Alameda County; California,3451.0,250001.0,06,001,443200
Census Tract 4433.01; Alameda County; California,4178.0,250001.0,06,001,443301
Census Tract 4433.21; Alameda County; California,3323.0,148750.0,06,001,443321
Census Tract 4433.22; Alameda County; California,3284.0,232679.0,06,001,443322
Census Tract 4441; Alameda County; California,7198.0,163367.0,06,001,444100
Census Tract 4442; Alameda County; California,6271.0,137773.0,06,001,444200
Census Tract 4443.01; Alameda County; California,3774.0,200865.0,06,001,444301
Census Tract 4443.03; Alameda County; California,0.0,-666666666.0,06,001,444303
Census Tract 4443.04; Alameda County; California,6809.0,224511.0,06,001,444304
Census Tract 4444; Alameda County; California,5174.0,103565.0,06,001,444400
Census Tract 4445; Alameda County; California,7024.0,160398.0,06,001,444500
Census Tract 4446.01; Alameda County; California,6005.0,225543.0,06,001,444601
Census Tract 4446.02; Alameda County; California,4890.0,205000.0,06,001,444602
Census Tract 4501.01; Alameda County; California,6725.0,143246.0,06,001,450101
Census Tract 4501.02; Alameda County; California,7880.0,232292.0,06,001,450102
Census Tract 4502; Alameda County; California,5809.0,118077.0,06,001,450200
Census Tract 4503; Alameda County; California,4967.0,147875.0,06,001,450300
Census Tract 4504; Alameda County; California,7676.0,170184.0,06,001,450400
Census Tract 4505.01; Alameda County; California,3310.0,200475.0,06,001,450501
